Name,Rarity,Type,Attunement,Text
Ring of Warmth,uncommon,ring,requires attunement,"If you take Cold damage while wearing this ring, the ring reduces the damage you take by 2d8.In addition, while wearing this ring, you and everything you wear and carry are unharmed by temperatures of 0 degrees Fahrenheit or lower."
Horn of Valhalla,varies,wondrous item,,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points. The spirits look like living, breathing warriors, and they have Immunity to the Charmed and Frightened conditions. Once you use the horn, it can't be used again until 7 days have passed.Four types of Horn of Valhalla are known to exist, each made of a different metal. The horn's type determines how many spirits it summons, as well as the requirement for its use. The DM chooses the horn's type or determines it randomly by rolling on the following table. If you blow the horn without meeting its requirement, the summoned spirits attack you.If you meet the requirement, they are Friendly to you and your allies and follow your commands.1d100Horn TypeSpiritsRequirement01-40Silver2None41-75Brass3Proficiency with all Simple weapons76-90Bronze4Training with all Medium armor91-00Iron5Proficiency with all Martial weapons"
Bottled Comet,rare,wondrous item,,"This spherical glass orb contains an ignited delerium shard hovering gently within. Electrical currents of yellow, green, and purple energy streak from the crystal and cascade along the glass, rendering it warm to the touch.As an action you can throw the orb up to 30 feet. It shatters on impact, releasing a 20-foot-radius burst of contaminated energy. Creatures in the area must succeed on a DC 15 Constitution save or take (8d6) necrotic damage, and take one level of contamination. In addition, an arcane anomaly (see Dungeons of Drakkenheim) occurs, centred on the point of impact."
Instrument of the Bards,varies,"wondrous item, instrument",requires attunement by a bard,"An instrument of the bards is an exquisite example of its kind, superior to an ordinary instrument in every way. Seven types of these instruments exist, each named after a legendary bard college. A creature that attempts to play the instrument without being attuned to it must succeed on a DC 15 Wisdom saving throw or take 2d4 psychic damage.You can use an action to play the instrument and cast one of its spells. Once the instrument has been used to cast a spell, it can't be used to cast that spell again until the next dawn. The spells use your spellcasting ability and spell save DC.You can play the instrument while casting a spell that causes any of its targets to be charmed on a failed saving throw, thereby imposing disadvantage on the save. This effect applies only if the spell has a somatic or a material component.All instruments of the bards can be used to cast the following spells: fly, invisibility, levitate, and protection from evil and good.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.Multiple variations of this item exist, as listed below:Instrument of the Bards, Anstruth HarpInstrument of the Bards, Canaith MandolinInstrument of the Bards, Cli LyreInstrument of the Bards, Doss LuteInstrument of the Bards, Fochlucan BandoreInstrument of the Bards, Mac-Fuirmidh CitternInstrument of the Bards, Ollamh HarpSee the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Spell Scroll (Level 3),uncommon,scroll,,"A Spell Scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your spell list, you can read the scroll and cast its spell without Material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is cast, the scroll crumbles to dust. If the casting is interrupted, the scroll isn't lost.If the spell is on your spell list but of a higher level than you can normally cast, you make a DC 13 ability check using your spellcasting ability to determine whether you cast the spell. On a failed check, the spell disappears from the scroll with no other effect.If the spell requires a saving throw or an attack roll, the spell save DC is 15, and the attack bonus is +7. Copying a Scroll into a Spellbook. A Wizard spell on a Spell Scroll can be copied into a spellbook. When a level 3 spell is copied in this way, the copier must succeed on a DC 13 Intelligence (Arcana). On a successful check, the spell is copied. Whether the check succeeds or fails, the Spell Scroll is destroyed."
Quaal's Feather Token,varies,wondrous item,,"This object looks like a feather. Different types of feather tokens exist, each with a different single-use effect. The DM chooses the kind of token or determines it randomly by rolling on the Quaal's Feather Tokens table. The type of token determines its rarity.Quaal's Feather Tokens1d100TokenRarity01-20AnchorUncommon21-35BirdRare36-50FanUncommon51-65Swan BoatRare66-90TreeUncommon91-00WhipRare"
Orb of Remembrance,common,wondrous item,,"This glassy orb is 3 inches in diameter, weighs 1/2 pound, and is wrapped in a golden wire cage. Strange, wispy smoke drifts around inside the orb, creating cloud-like shapes that are almost recognizable as reallife objects.While holding the orb, you can use an action to speak its command word, priming the orb and causing the smoke inside to restlessly billow and swirl. You can gently squeeze the primed orb (no action required) to cause it to record that moment in time around you. When you do, the glassy sphere becomes perfectly clear over the course of 1 minute and reveals an exact duplicate of the area around you in up to a 30-foot radius as a miniature, illusory diorama inside it. While holding the orb, the scene inside soundlessly replays the next 6 seconds following the diorama's capture.An orb remains primed for 1 minute or until used to capture a diorama. Touching a primed orb of remembrance to one that already has a diorama creates a duplicate of the diorama in the primed orb. Speaking the command word again while shaking the orb causes the diorama inside to disappear into smoke, allowing it to be primed once more."
Flame Tongue Shortsword of Greed,unknown (magic),"weapon (Shortsword), martial weapon, melee weapon",requires attunement,"You can use a bonus action to speak this magic sword's command word, causing flames to erupt from the blade. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. While the sword is ablaze, it deals an extra 2d6 fire damage to any target it hits. The flames last until you use a bonus action to speak the command word again or until you drop or sheathe the sword.While you are attuned to this sword you can use an action to mentally command it to detect gems and jewels. You learn the kind and number of such objects within 60 feet of the sword. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Fortune's Flower,common,wondrous item,,"These magic flowers are said to bring good luck and are often given as gifts at weddings. You can use an action to pull off and drop one of the flower's five petals. When you do, there is a 5 percent chance that the petal glimmers in a flash of light as a rune is burnt into it, recreating the effects of the augury spell. When it does, 1d6 new fortune's flowers grow at that petal's location after 30 days if the ground is suited for growth.The plant has no seeds and can't be repotted for travel. An unpicked fortune's flower regrows one flower every year. Once picked, the flower can survive up to 7 days before it withers and dies."
Potion of Giant Strength,varies,potion,,"Multiple variations of this item exist, as listed below:Potion of Cloud Giant StrengthPotion of Fire Giant StrengthPotion of Frost Giant StrengthPotion of Hill Giant StrengthPotion of Stone Giant StrengthPotion of Storm Giant Strength"
